trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-133.3923185074104,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,3,-55.462580228205645,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-108.55754493247197,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,8,-90.58842825460107,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-19.804665997074583,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-8.391294356995253,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-79.99155110660331,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,1.5652008967084576,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-34.837185458890616,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-56.2709679985037,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,1,-27.159867023874618,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-52.244399394121906,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,15.3848304856798,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-97.38418880508064,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,2.867037179506491,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,18,12.04532243125561,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,12,13.933120508638375,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,-47.89943517488393,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,8.03335891388258,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,8,19.69883241507401,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,21.610640728111388,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,32.02372488957663,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,11,13.00641632040432,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,1,21.331844687812197,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,12,-1.483834169728787,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,29.211712434768884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,9,19.14764587669886,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-25.487842627947977,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,1,25.894139295754528,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,12.877623591921688,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
