trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-129.06484888791755,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.25}",30,12,-29.693901768463746,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",30,5,-48.81903114953964,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.9, 'e': 0.0625}",30,13,-64.23527905197746,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.9, 'e': 0.04}",25,3,-153.5513291822596,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 4}",1
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",30,13,-72.55623668729542,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",20,0,21.256022197456936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.015625}",35,13,-24.10509271527734,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",25,7,8.511648845813273,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.01}",35,16,34.45304930768047,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",25,15,18.104648116402263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",25,3,38.11877204482631,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",25,3,25.04221888118404,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",25,2,24.797573942227395,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",30,12,22.92969720733764,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.00390625}",30,16,23.2656994222099,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",20,6,11.690283843448084,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",20,5,25.232825280324487,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",20,2,26.309285529917467,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.0025}",20,14,10.890399102115413,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",20,9,13.414820836247562,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",25,0,-12.56428763525586,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",20,10,-25.02689699343953,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",30,13,-22.672229582722384,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.9, 'e': 0.0016}",20,0,23.95415998239272,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",25,19,11.16379332597408,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",30,21,13.426845056985703,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",30,16,11.602945868098235,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",25,16,12.61347800786069,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",25,11,18.121601507383385,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.001040582726326743}",30,0,19.549636186511876,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.9, 'e': 0.0009765625}",25,11,21.199429208390445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.0009182736455463728}",20,16,9.10153422480574,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.0008650519031141869}",20,10,5.882619677616717,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.0008163265306122449}",25,0,-50.98779776267077,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
36,False,"{'a': 0.9, 'e': 0.0007716049382716049}",20,0,30.975383874192634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.9, 'e': 0.0007304601899196494}",20,16,7.804939149677793,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.0006925207756232687}",25,17,-7.346561624223101,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.0006574621959237344}",30,12,17.037029907276278,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.9, 'e': 0.000625}",30,18,17.899729837029305,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.000594883997620464}",20,6,25.263373753451617,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.9, 'e': 0.0005668934240362812}",25,11,12.576156860991421,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.0005408328826392645}",25,0,9.243524112455315,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
44,False,"{'a': 0.9, 'e': 0.0005165289256198347}",30,19,16.79939134454886,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.0004938271604938272}",20,14,8.8444137492402,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.0004725897920604915}",25,20,9.908285408735667,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.0004526935264825713}",30,20,13.953166332375368,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.00043402777777777775}",25,11,21.16805294042799,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.00041649312786339027}",25,18,17.912114920409138,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.0004}",35,9,45.119448002982956,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.9, 'e': 0.00038446751249519417}",20,8,22.473307835629505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.9, 'e': 0.0003698224852071006}",20,2,16.599440260939627,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.000355998576005696}",25,11,24.181490311791926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.0003429355281207133}",25,13,19.430543275563867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.9, 'e': 0.00033057851239669424}",20,4,26.64941714907398,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.9, 'e': 0.00031887755102040814}",30,13,26.186468885746024,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.0003077870113881194}",20,7,20.283814888920116,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.9, 'e': 0.00029726516052318666}",30,0,-35.80930710130376,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
59,False,"{'a': 0.9, 'e': 0.0002872737719046251}",25,18,-2.2167742260387113,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.9, 'e': 0.0002777777777777778}",35,7,11.786444514769377,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 0}",1
61,False,"{'a': 0.9, 'e': 0.0002687449610319806}",20,12,16.103942634152848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.9, 'e': 0.00026014568158168577}",25,14,21.45464004845015,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.9, 'e': 0.0002519526329050139}",20,11,15.008468529739398,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.9, 'e': 0.000244140625}",20,0,24.324806032376603,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.9, 'e': 0.00023668639053254438}",35,20,22.74760667900965,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.9, 'e': 0.0002295684113865932}",20,0,26.57853085898469,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.9, 'e': 0.00022276676319893073}",30,19,23.34624679274019,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.9, 'e': 0.00021626297577854672}",20,6,20.83902819295972,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
